fortuna_angry: <:fortuna_angry:1454885720316575916>
fortuna_confused: <:fortuna_confused:1454885723072106627>
fortuna_heart: <:fortuna_heart:1454885726121623677>
fortuna_sad: <:fortuna_sad:1454885729128812555>
fortuna_shocked: <:fortuna_shocked:1454885731611840643>
fortuna_sparkle: <:fortuna_sparkle:1454885735818858691>
fortuna_think: <:fortuna_think:1454885738373185743>
fortuna_money: <:fortuna_money:1454887481924386899>
fortuna_teacher: <:fortuna_teacher:1455068530641862667>
fortuna_teacher_angry: <:fortuna_teacher_angry:1455068668391329843>
fortuna_teacher_sad: <:fortuna_teacher_sad:1455072980466929768>
fortuna_graduate: <:fortuna_graduate:1455091834303942729>
fortuna_gym: <:fortuna_gym:1455103411866566716>
fortuna_sports: <:fortuna_sports:1455103427473440768>
fortuna_medidate: <:fortuna_medidate:1455103880982565008>
tick: <:tick:1455105986120515656>
decline: <:decline:1455106146120761492>
alert_sign: <:alert_sign:1455458789934235738>
fortuna_engineer: <:fortuna_engineer:1455563457112969331>
fortuna_doctor: <:fortuna_doctor:1455563555930636331>
fortuna_business: <:fortuna_business:1455564125534031883>
fortuna_lawyer: <:fortuna_lawyer:1455564518217351251>
fortuna_coffee: <:fortuna_coffee:1455565452670664736>
fortuna_mechanic: <:fortuna_mechanic:1455568751343960064>
fortuna_working: <:fortuna_working:1455570584455872553>
fortuna_mod: <:fortuna_mod:1455572710632587368>
admin_shield: <:admin_shield:1456568693600555069>
banana: <:banana:1456568699421986826>
bandaid: <:bandaid:1456568701737500753>
Bank: <:Bank:1456568703662555136>
bell: <:bell:1456568705994723503>
bj: <:bj:1456568708041281579>
Blackcoin: <:Blackcoin:1456568710348275826>
boots: <:boots:1456568714592780290>
cards: <:cards:1456568716958634034>
casino: <:casino:1456568719374553138>
channel: <:channel:1456568721760845948>
cherry: <:cherry:1456568724134822040>
chicken: <:chicken:1456568726643146936>
clinic: <:clinic:1456568728883040287>
cockfight_shield: <:cockfight_shield:1456568731445629104>
cooldown: <:cooldown:1456568806741774449>
credit: <:credit:1456568809304625192>
Delete: <:Delete:1456568815398813756>
dices: <:dices:1456568817621925991>
disable: <:disable:1456568820096303318>
dmin: <:dmin:1456568822340255817>
fast: <:fast:1456568826417381501>
Gem: <:Gem:1456568963046576301>
grapes: <:grapes:1456568965391192130>
graph_down: <:graph_down:1456568968021278803>
graph_up: <:graph_up:1456568970504048722>
inventory: <:inventory:1456568973452644383>
lcok: <:lcok:1456568975688204471>
lootbox: <a:lootbox:1456568977751801856>
market: <:market:1456568979815399475>
medal_bronze: <:medal_bronze:1456568982260678738>
medal_gold: <:medal_gold:1456568984638853150>
medal_silver: <:medal_silver:1456568987013091421>
medicine: <:medicine:1456568989340930138>
money_bag: <:money_bag:1456568991458922630>
onloan: <:onloan:1456568995703689314>
pencil: <:pencil:1456568999075905651>
police: <:police:1456569002200535217>
price: <:price:1456569004889080026>
redcoin: <:redcoin:1456569008273883176>
redxp: <:redxp:1456569011105042474>
refresh: <:refresh:1456569013462106237>
rip: <:rip:1456569015639212032>
scroll: <:scroll:1456569017530716254>
settings: <:settings:1456569021066641408>
seven: <:seven:1456569023151083561>
sparks: <:sparks:1456569026292744303>
spear: <:spear:1456569028939354112>
trade: <:trade:1456569033854812254>
university: <:university:1456569035910156330>
waleltr: <:waleltr:1456569038497910846>
watermelonm: <:watermelonm:1456569041094312119>
xp_empty: <:xp_empty:1456569044315537550>
xp_full: <:xp_full:1456569047758929931>
gun: <:gun:1456729243399753752>
fortuna_police: <:fortuna_police:1457053051582939237>
fortuna_criminal: <:fortuna_criminal:1457054253771264276>
1169playingcarddiamondssix: <:1169playingcarddiamondssix:1457404063191925023>
1454playingcarddiamondsace: <:1454playingcarddiamondsace:1457404065288945747>
1497playingcarddiamondsfour: <:1497playingcarddiamondsfour:1457404067302346772>
2336playingcarddiamondsseven: <:2336playingcarddiamondsseven:1457404069344706642>
2715playingcarddiamondsten: <:2715playingcarddiamondsten:1457404071467290644>
3572playingcardheartseight: <:3572playingcardheartseight:1457404073837072474>
4065playingcarddiamondsfive: <:4065playingcarddiamondsfive:1457404075829235824>
